Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
ConnectHandler,Failure,3,3,2023-09-11 14:08:59 +0800,2023-09-11 14:10:25 +0800,0:00:00
SometimesFail,Failure,5,3,2023-08-22 21:32:54 +0800,2023-08-23 09:35:16 +0800,0:00:00
