Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-09-11 14:08:59.410 +0800,"Failure",0:00:00,1,0,0,"20230911_140859.410/LogFile.txt","","STMaxCallDepthExceeded -- Handlers were called to a depth exceeding the maximum limit (40). HINT: One common cause for this error is a script that has been given the same name as a built-in command or function unintentionally calling itself.",0
2023-09-11 14:10:02.630 +0800,"Failure",0:00:00,1,0,0,"20230911_141002.630/LogFile.txt","","STMaxCallDepthExceeded -- Handlers were called to a depth exceeding the maximum limit (40). HINT: One common cause for this error is a script that has been given the same name as a built-in command or function unintentionally calling itself.",0
2023-09-11 14:10:25.310 +0800,"Failure",0:00:05,1,0,0,"20230911_141025.310/LogFile.txt","","Connection Failed -- Unable to connect to Server:TutotialSUT on port:0\nInvalid hostname or IP address: No such host is known. \n",0
